,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,epic,kepmag,npix,lognpix,lognpixfit,pixfit,npixfit
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212703886,6,1510,3.17897694729,-414.263264238,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,212397473,6,1692,3.2284003587,-464.755246161,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,212338064,6,1778,3.24993175663,-488.614094761,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,212477735,6,2394,3.37912414607,-659.510033577,0.0,0.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,212323171,6,1315,3.11892575283,-360.164712178,0.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,212645003,6,1746,3.24204423937,-479.736383654,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,212801410,6,1484,3.17143390094,-407.050123963,0.0,0.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,212725494,7,868,2.93851972518,-236.154185148,7.01156318586e-237,7.01156318586e-237
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,212507267,6,1433,3.1562461904,-392.901271886,0.0,0.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,212725073,6,1279,3.10687054448,-350.177287182,0.0,0.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,212636554,6,1180,3.07188200731,-322.711868444,1.97626258336e-323,1.97626258336e-323
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,212402515,7,611,2.78604121024,-164.855067817,1.39615032743e-165,1.39615032743e-165
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,212719194,6,1434,3.15654915133,-393.178700358,0.0,0.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,212708104,6,2347,3.3705130896,-646.470895388,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,212421951,6,1485,3.17172645365,-407.327552435,0.0,0.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,212658101,6,1006,3.00259798072,-274.439314298,3.63651766797e-275,3.63651766797e-275
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,212609698,6,1243,3.09447112864,-340.189862186,0.0,0.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,212558932,6,1391,3.14332712999,-381.249276058,0.0,0.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,212571053,6,1244,3.09482038035,-340.467290659,0.0,0.0
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,212518069,7,758,2.87966920563,-205.637053217,2.30646454708e-206,2.30646454708e-206
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,212504061,7,542,2.73399928654,-145.712503242,1.93863816222e-146,1.93863816222e-146
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,212548979,7,937,2.97173959089,-255.296749723,5.04952209674e-256,5.04952209674e-256
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,212674975,8,293,2.46686762035,-76.6328136888,2.32909021692e-77,2.32909021692e-77
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,212505283,7,327,2.51454775266,-86.0653817403,8.60237280192e-87,8.60237280192e-87
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,212606089,7,350,2.54406804435,-92.4462365987,3.57901403386e-93,3.57901403386e-93
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,212617571,7,426,2.6294095991,-113.530800478,2.94577465685e-114,2.94577465685e-114
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,212508589,7,412,2.61489721603,-109.646801869,2.25526786089e-110,2.25526786089e-110
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,212835222,8,338,2.52891670028,-89.1170949334,7.63668833188e-90,7.63668833188e-90
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,212564534,7,402,2.60422605308,-106.872517148,1.3411669787e-107,1.3411669787e-107
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,212708252,7,346,2.53907609879,-91.3365227103,4.60762673716e-92,4.60762673716e-92
